customer_id,number_complaints,distinct_stores_visited,typical_hour,percentage_of_products_bought_promotion,Age,Tenure,Total_Spend,Total_Minors,Share_Fresh_Food,Share_Groceries,Share_Tech_Gaming,Share_Drinks
11259,0.5,1.0,0.375,0.6900530838708656,0.7419354838709677,1.875,-0.49816976127320955,0.0,0.8455198604902946,-1.0192125408823673,0.057832032459374925,1.612435120928253
6538,1.0,1.0,-0.125,0.47301844750504696,0.12903225806451613,-0.25,-0.4552254641909814,0.3333333333333333,2.019346896363979,-1.6869245832406399,-0.17266858799264487,2.6039579004993927
14274,0.0,-1.0,-0.375,-0.4760790924634414,-0.4838709677419355,0.125,0.12002652519893899,-0.6666666666666666,-0.2782991218530236,0.2093810467415403,0.6163775796022765,-0.4398139591670072
7796,0.0,1.0,0.0,0.03781579825019045,-0.9032258064516129,-1.125,-0.38461538461538464,-0.3333333333333333,1.4262364420877796,-0.9112100234818251,0.7448290316205676,-0.2717145701627887
4521,0.5,1.0,-0.625,0.06692846765004178,0.45161290322580644,1.375,0.9536339522546419,0.6666666666666666,0.45213442960498923,0.12706234957075466,-0.10870050903438518,-0.5164284282864784
12262,-0.5,-1.0,0.875,0.9386348798698652,-0.9354838709677419,-0.875,-0.48114058355437667,-0.6666666666666666,0.09868052602876846,-1.2780951683141415,1.053151297412344,3.035563719323397
6855,0.5,-1.0,-0.625,-1.0239114152214972,0.5161290322580645,0.125,-0.529761273209549,0.6666666666666666,1.7801045479479822,-1.9724559626052318,0.36199050016182127,2.4461219753680985
5289,-0.5,-1.0,0.875,0.025833175338141015,-0.9354838709677419,-1.25,-0.10912466843501327,1.0,0.10430182989922158,-0.20992971578565414,1.023813588360408,0.11504126486621498
8263,0.0,3.0,-0.5,1.3593929123336137,0.12903225806451613,0.125,-0.4357824933687003,-0.6666666666666666,0.9451594547636721,-0.4237334778846106,0.1842506313394072,-0.12755788356438721
16710,0.0,0.0,-0.625,-0.004988235692151205,-0.41935483870967744,0.75,0.5138196286472149,2.0,0.9901728746166728,-0.21142070668642293,0.18240535312741196,-0.4437525827325535
6847,0.0,0.0,0.25,0.7983244665173099,-0.7419354838709677,-0.375,-0.2970291777188329,-0.6666666666666666,-0.09007727560827697,-0.11020799127641949,0.8667182248789698,0.1701461449527221
